c1_W_regularizer, c1_b_regularizer, c1_dropout, c1_filters, c1_width, c2_W_regularizer, c2_b_regularizer, c2_dropout, c2_filters, c2_width, d1_W_regularizer, d1_b_regularizer, d1_dropout, d1_size, d2_W_regularizer, d2_b_regularizer, d2_dropout, d2_size, embedding_W_regularizer, embedding_b_regularizer, embedding_dim, epochs, learning_rate, margin, auc
0.01, 0.0001, 0, 16, 10, 0.01, 0.001, 0.05, 0, 3, 0.001, 0.001, 0.1, 256, 0.001, 0.001, 0.05, 256, 0.001, 0.001, 16, 200, 0.0001, 10, 0.660767551433
0, 0.001, 0.3, 16, 5, 0.0001, 0.01, 0.1, 0, 5, 0.001, 0.1, 0.05, 128, 0.01, 0.0001, 0.1, 256, 1e-05, 0, 64, 200, 0.002, 8, 0.691719640147
0, 0.01, 0.1, 32, 20, 0.01, 0.001, 0, 32, 5, 0.001, 0.1, 0.05, 256, 0.001, 0.001, 0.05, 256, 0.001, 0.1, 16, 200, 0.0001, 10, 0.668746600153
0.0001, 0.001, 0.1, 32, 5, 0, 0.1, 0, 32, 5, 0.001, 0.001, 0.1, 128, 0.01, 0.0001, 0.05, 128, 0, 0.01, 16, 200, 0.0005, 10, 0.689400778405
0.1, 0.1, 0.3, 32, 5, 0.0001, 0.1, 0.1, 16, 5, 0.001, 0.1, 0.1, 256, 0.01, 0.001, 0.05, 128, 1e-05, 0, 16, 200, 0.0001, 8, 0.692183986071
0.0001, 0.0001, 0.3, 16, 20, 0.0001, 0.0001, 0.1, 16, 5, 0.001, 0.001, 0.05, 128, 0.001, 0.01, 0.05, 256, 0, 0.001, 64, 200, 0.0005, 10, 0.645021084807
0.0001, 0.1, 0.1, 8, 20, 0.01, 0.01, 0, 32, 3, 0.001, 0.001, 0.1, 128, 0.01, 0.1, 0.05, 256, 1e-05, 0.1, 64, 200, 0.0001, 8, 0.69618442283
0.1, 0.1, 0, 8, 10, 0.001, 0.1, 0.1, 8, 3, 0.01, 0, 0.05, 256, 0.01, 0.001, 0.1, 128, 0.0001, 0.01, 64, 200, 0.0001, 15, 0.647318595346
0.01, 0.1, 0, 16, 20, 0.1, 0.01, 0.1, 0, 5, 0.001, 0.0001, 0.1, 128, 0.01, 0.01, 0.1, 256, 0.0001, 0, 64, 200, 0.0001, 15, 0.664967608132
0, 0.01, 0.3, 16, 20, 0.0001, 0.001, 0.1, 0, 8, 0.001, 0.001, 0.05, 128, 0.01, 0.001, 0.05, 256, 0.0001, 0.001, 64, 200, 0.0005, 10, 0.685279167316
0.1, 0.1, 0.05, 16, 10, 0.1, 0.001, 0, 8, 5, 0.001, 0.1, 0.05, 128, 0.001, 0, 0.05, 128, 0.001, 0.1, 64, 200, 0.001, 10, 0.721510397036
0.0001, 0.1, 0.3, 16, 10, 0, 0.01, 0.1, 0, 8, 0.1, 0, 0.05, 128, 0.1, 0.0001, 0.1, 256, 0, 0, 16, 200, 0.002, 8, 0.70502770197
0.0001, 0.0001, 0.1, 8, 20, 0.1, 0.1, 0, 32, 8, 0.01, 0.01, 0.1, 128, 0.1, 0, 0.05, 128, 0.0001, 0.0001, 64, 200, 0.0005, 8, 0.696962393334
0.1, 0.01, 0, 32, 10, 0, 0.0001, 0.1, 32, 8, 0.01, 0.001, 0.1, 128, 0.001, 0, 0.1, 256, 0, 0.001, 16, 200, 0.001, 10, 0.683945618234
0.1, 0.01, 0.1, 32, 5, 0.001, 0.1, 0.1, 0, 5, 0.001, 0, 0.1, 256, 0.001, 0, 0.05, 256, 0.0001, 0.1, 64, 200, 0.001, 15, 0.7309479053
0.0001, 0.1, 0, 8, 5, 0.01, 0.01, 0.1, 16, 5, 0.1, 0, 0.1, 128, 0.01, 0.01, 0.1, 256, 0.0001, 0.1, 16, 200, 0.002, 15, 0.693140909393
0.001, 0.0001, 0.3, 32, 5, 0.01, 0.01, 0.05, 16, 8, 0.001, 0.0001, 0.1, 128, 0.001, 0.001, 0.05, 128, 0.0001, 0.001, 64, 200, 0.0001, 10, 0.690801419993
0.0001, 0.001, 0.05, 32, 5, 0.001, 0.1, 0.05, 16, 3, 0.1, 0.1, 0.05, 256, 0.01, 0.01, 0.05, 128, 0.001, 0.0001, 64, 200, 0.002, 15, 0.69498166467
0.001, 0.0001, 0.1, 8, 5, 0.1, 0.01, 0.1, 16, 5, 0.001, 0.1, 0.05, 128, 0.01, 0.001, 0.05, 128, 0.0001, 0.0001, 16, 200, 0.0005, 10, 0.657203334366
0, 0.1, 0, 8, 5, 0.1, 0.001, 0, 0, 5, 0.01, 0.1, 0.1, 256, 0.1, 0.1, 0.1, 128, 0.0001, 0.001, 16, 200, 0.0001, 10, 0.629488801142
0.1, 0.001, 0.3, 8, 5, 0.1, 0.0001, 0.1, 16, 8, 0.01, 0.001, 0.05, 256, 0.001, 0.1, 0.05, 256, 0.0001, 0.01, 16, 200, 0.002, 10, 0.689650309908
0.1, 0.001, 0.3, 16, 10, 0, 0.01, 0, 0, 3, 0.001, 0.0001, 0.05, 128, 0.001, 0.001, 0.1, 128, 0.0001, 0.0001, 16, 200, 0.0001, 15, 0.68126661444
0.01, 0.01, 0.3, 32, 20, 0.0001, 0.1, 0.05, 8, 5, 0.01, 0.001, 0.1, 128, 0.1, 0.0001, 0.05, 256, 0.001, 0.01, 16, 200, 0.001, 15, 0.711808215412
0, 0.01, 0, 8, 10, 0.001, 0.01, 0.05, 32, 5, 0.1, 0.1, 0.05, 128, 0.001, 0.001, 0.1, 128, 1e-05, 0.001, 64, 200, 0.0001, 15, 0.613325611117
0.01, 0.01, 0.1, 8, 5, 0.0001, 0.0001, 0, 0, 8, 0.1, 0.1, 0.05, 128, 0.01, 0.1, 0.05, 256, 1e-05, 0.001, 64, 200, 0.002, 15, 0.717922894923
0, 0.001, 0.1, 8, 10, 0.01, 0.1, 0.05, 16, 5, 0.01, 0, 0.1, 256, 0.01, 0.0001, 0.05, 256, 0.001, 0.01, 64, 200, 0.002, 15, 0.68238129724
0.001, 0.0001, 0, 8, 10, 0.001, 0.1, 0.05, 16, 8, 0.001, 0.001, 0.05, 128, 0.1, 0, 0.05, 256, 0, 0.1, 16, 200, 0.0005, 8, 0.703050393708
0.001, 0.001, 0.05, 32, 5, 0.01, 0.01, 0, 16, 5, 0.001, 0.1, 0.05, 256, 0.001, 0.001, 0.1, 256, 0.001, 0.0001, 64, 200, 0.0005, 8, 0.676710020266
0.0001, 0.01, 0, 8, 20, 0, 0.1, 0.05, 0, 5, 0.01, 0.001, 0.1, 128, 0.001, 0.1, 0.1, 128, 0.0001, 0.01, 64, 200, 0.002, 15, 0.696394172424
0.001, 0.0001, 0.3, 8, 5, 0.0001, 0.0001, 0.1, 32, 5, 0.1, 0.01, 0.1, 128, 0.1, 0, 0.1, 256, 0.0001, 0.1, 64, 200, 0.0001, 10, 0.698424931049
0, 0.1, 0.1, 16, 5, 0.1, 0.001, 0, 32, 8, 0.01, 0, 0.1, 128, 0.001, 0.1, 0.1, 256, 0, 0.0001, 64, 200, 0.0001, 15, 0.672512002652
0, 0.0001, 0.05, 8, 5, 0.01, 0.0001, 0.1, 16, 8, 0.01, 0.01, 0.1, 128, 0.001, 0.01, 0.1, 256, 0, 0.01, 64, 200, 0.0001, 8, 0.697272794844
0.001, 0.01, 0.1, 16, 10, 0.0001, 0.0001, 0.05, 0, 5, 0.01, 0.1, 0.1, 128, 0.01, 0.001, 0.05, 128, 0, 0.1, 64, 200, 0.002, 8, 0.726218186148
